"","idade","sexo","escolaridade","estadocivil","ocupacao","religiao","contatoanterior","lidadiretamente","motivocurso","materialdidatico","prazoatividades","interacaopares","organizacaocurso","import.ajud.tutor","part.outrocurso","sumTime","nsessions","aprovado","meanTime"
"826","44 anos","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Pelo fato de o curso estar vinculado à Universidade","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",26700,5,"Não",89
"828","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",12240,7,"Não",29.1428571428571
"829","45","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Muito organizado","Sempre","Sim",12240,7,"Não",29.1428571428571
"840","32","Feminino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Sem religião","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Às vezes","Sim",19680,10,"Não",32.8
"868","DEZENOVE","Feminino","Ensino Superior Incompleto","Solteiro (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Muito organizado","Sempre","Não",18600,6,"Não",51.6666666666667
"886","48","Masculino","Pós-graduação","Casado (a)","Estudante","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",44460,6,"Sim",123.5
"896","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",21060,9,"Não",39
"900","45","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",14160,4,"Não",59
"904","49","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",26160,2,"Não",218
"906","56","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",51600,5,"Sim",172
"907","56","Feminino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",51600,5,"Sim",172
"913","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",46080,5,"Não",153.6
"915","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",39360,6,"Não",109.333333333333
"916","49","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Importante","Organizado","Sempre","Não",39360,6,"Não",109.333333333333
"919","trinta dois anos","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",14340,6,"Sim",39.8333333333333
"923","46","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",62760,6,"Sim",174.333333333333
"926","47","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Identificação pessoal com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",32940,3,"Sim",183
"927","47","Feminino","Pós-graduação","Casado (a)","-","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","-","Muito importante","Muito organizado","Sempre","-",32940,3,"Sim",183
"931","41","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouquíssimo flexível","Importante","Organizado","Sempre","Não",39840,6,"Não",110.666666666667
"944","50","Feminino","Ensino Superior Incompleto","Casado (a)","Outros","Católica","Sim","Sim","Identificação pessoal com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Sim",31320,6,"Não",87
"968","47","Feminino","Ensino Superior Completo","Solteiro (a)","Supervisor (a)","Evangélica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",55680,12,"Sim",77.3333333333333
"983","35","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Não","Não","Identificação profissional com o tema","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",31680,5,"Não",105.6
"987","50","Feminino","Pós-graduação","Casado (a)","Diretor (a)","Evangélica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",34200,5,"Não",114
"995","50","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",30180,7,"Não",71.8571428571429
"996","50","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Não",30180,7,"Não",71.8571428571429
"1006","48","Masculino","Ensino Superior Completo","Divorciado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Muito adequado","Pouco flexível","Muito importante","Organizado","Sempre","Não",64740,4,"Sim",269.75
"1008","54","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Sem religião","Sim","Sim","Pelo fato de o curso estar vinculado à Universidade","Adequado","Flexível","Pouco importante","Organizado","Raramente","Não",42060,7,"Não",100.142857142857
"1012","59","Masculino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Flexível","Importante","Organizado","Sempre","Não",39060,6,"Sim",108.5
"1018","55","Masculino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",3300,2,"Não",27.5
"1026","57","Masculino","Pós-graduação","Casado (a)","Diretor (a)","Católica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",44040,7,"Sim",104.857142857143
"1031","44","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",42840,4,"Não",178.5
"1036","47","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Muito adequado","Pouquíssimo flexível","Muito importante","Muito organizado","Sempre","Sim",49860,5,"Não",166.2
"1037","50","Feminino","Pós-graduação","Outros","Coordenador (a) Pedagógico","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Pouco flexível","Importante","Organizado","Sempre","Não",23100,4,"Não",96.25
"1038","55","Feminino","Pós-graduação","Viúvo (a)","Professor (a)","Católica","Não","Sim","Outros","Muito adequado","Pouco flexível","Muito importante","Organizado","Sempre","Não",34140,6,"Não",94.8333333333333
"1039","55","Feminino","Pós-graduação","Viúvo (a)","Outros","Católica","Não","Sim","Outros","Muito adequado","Pouco flexível","Muito importante","Organizado","Sempre","Não",34140,6,"Não",94.8333333333333
"1044","46","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Espírita","Não","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",51840,3,"Sim",288
"1046","23/09/1969","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",39780,3,"Sim",221
"1047","quarenta e quatro anos","Feminino","Pós-graduação","Casado (a)","Supervisor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",39780,3,"Sim",221
"1049","55","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Pouco adequado","Pouco flexível","Importante","Organizado","Às vezes","Não",25080,4,"Não",104.5
"1050","51","Feminino","Ensino Superior Completo","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Importante","Muito organizado","Sempre","Não",30420,4,"Sim",126.75
"1052","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Evangélica","Sim","Sim","Identificação profissional com o tema","Adequado","Flexível","Muito importante","Organizado","Sempre","Sim",43260,8,"Sim",90.125
"1053","53","Feminino","Pós-graduação","Casado (a)","Professor (a)","Espírita","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",55140,5,"Sim",183.8
"1054","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",2880,3,"Não",16
"1057","49","Feminino","Ensino Superior Completo","União Estável","Outros","Católica","Sim","Não","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",10380,4,"Não",43.25
"1071","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",14220,7,"Não",33.8571428571429
"1077","53","Feminino","Pós-graduação","Divorciado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Muito importante","Muito organizado","Às vezes","Não",27120,5,"Sim",90.4
"1081","46","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Flexível","Importante","Organizado","Sempre","Sim",44580,5,"Não",148.6
"1082","43","Feminino","Ensino Superior Completo","Solteiro (a)","Professor (a)","Católica","Não","Não","Identificação profissional com o tema","Muito adequado","Flexível","Muito importante","Muito organizado","Sempre","Sim",47640,2,"Sim",397
"1096","60 anos","Masculino","Pós-graduação","Casado (a)","Outros","Católica","Sim","Sim","Identificação pessoal com o tema","Muito adequado","Flexível","Importante","Muito organizado","Sempre","Não",49440,1,"Sim",824
"1100","56","Feminino","Ensino Superior Completo","Solteiro (a)","Diretor (a)","Católica","Sim","Não","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Organizado","Sempre","Sim",58800,7,"Sim",140
"1101","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",20700,7,"Não",49.2857142857143
"1112","42","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Não","Para aquisição de conhecimento na área","Muito adequado","Muito flexível","Muito importante","Muito organizado","Sempre","Sim",11760,5,"Não",39.2
"1118","43","Feminino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Por ser uma oportunidade de formação continuada","Adequado","Flexível","Importante","Organizado","Sempre","Sim",6480,3,"Não",36
"1148","46","Feminino","Ensino Superior Completo","Casado (a)","Outros","Espírita","Sim","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Às vezes","Não",47040,4,"Não",196
"1163","57","Feminino","Pós-graduação","Solteiro (a)","Professor (a)","Evangélica","Não","Não","Para aquisição de conhecimento na área","Adequado","Flexível","Importante","Organizado","Sempre","Não",33180,8,"Não",69.125
"1173","60 anos","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Não","Sim","Para aquisição de conhecimento na área","Adequado","Flexível","Muito importante","Organizado","Sempre","Não",30720,5,"Não",102.4
"1180","45","Feminino","Pós-graduação","Casado (a)","Coordenador (a) Pedagógico","Católica","Sim","Sim","Identificação profissional com o tema","Muito adequado","Pouquíssimo flexível","Muito importante","Organizado","Às vezes","Sim",49920,5,"Sim",166.4
"1183","45","Masculino","Pós-graduação","Casado (a)","Professor (a)","Católica","Sim","Sim","Para aquisição de conhecimento na área","Muito adequado","Pouco flexível","Importante","Muito organizado","Às vezes","Sim",11040,6,"Não",30.6666666666667
"1200","22","Feminino","Ensino Superior Incompleto","Casado (a)","Professor (a)","Evangélica","Não","Sim","Pelo fato de o curso estar vinculado à Universidade","Adequado","Pouco flexível","Pouco importante","Muito organizado","Sempre","Sim",46260,5,"Sim",154.2
